DATA16 X,DATA16 Y
5.045e-05,0
5.055e-05,0.05625
5.065e-05,0.16875
5.075e-05,0.225
5.085e-05,0.28125
5.095e-05,0.3375
5.105e-05,0.3375
5.115e-05,0.39375
5.125e-05,0.39375
5.135e-05,0.3375
5.145e-05,0.3375
5.155e-05,0.28125
5.165e-05,0.225
5.175e-05,0.1125
5.185e-05,0.05625
5.195e-05,-0.05625
5.205e-05,-0.1125
5.215e-05,-0.16875
5.225e-05,-0.28125
5.235e-05,-0.3375
5.245e-05,-0.39375
5.255e-05,-0.39375
5.265e-05,-0.45
5.275e-05,-0.45
5.285e-05,-0.39375
5.295e-05,-0.39375
5.305e-05,-0.3375
5.315e-05,-0.28125
5.325e-05,-0.225
5.335e-05,-0.1125
5.345e-05,-0.05625
5.355e-05,0.05625
5.365e-05,0.1125
5.375e-05,0.225
5.385e-05,0.28125
5.395e-05,0.3375
5.405e-05,0.3375
5.415e-05,0.39375
5.425e-05,0.39375
5.435e-05,0.3375
5.445e-05,0.3375
5.455e-05,0.28125
5.465e-05,0.225
5.475e-05,0.16875
5.485e-05,0.05625
5.495e-05,0
5.505e-05,-0.1125
5.515e-05,-0.16875
5.525e-05,-0.225
5.535e-05,-0.3375
5.545e-05,-0.39375
5.555e-05,-0.39375
5.565e-05,-0.45
5.575e-05,-0.45
5.585e-05,-0.39375
5.595e-05,-0.39375
5.605e-05,-0.3375
5.615e-05,-0.28125
5.625e-05,-0.225
5.635e-05,-0.16875
5.645e-05,-0.05625
5.655e-05,0
5.665e-05,0.1125
5.675e-05,0.16875
5.685e-05,0.225
5.695e-05,0.28125
5.705e-05,0.3375
5.715e-05,0.39375
5.725e-05,0.39375
5.735e-05,0.39375
5.745e-05,0.3375
5.755e-05,0.28125
5.765e-05,0.225
5.775e-05,0.16875
5.785e-05,0.1125
5.795e-05,0
5.805e-05,-0.05625
5.815e-05,-0.16875
5.825e-05,-0.225
5.835e-05,-0.28125
5.845e-05,-0.3375
5.855e-05,-0.39375
5.865e-05,-0.45
5.875e-05,-0.45
5.885e-05,-0.45
5.895e-05,-0.39375
5.905e-05,-0.3375
5.915e-05,-0.28125
5.925e-05,-0.225
5.935e-05,-0.16875
5.945e-05,-0.1125
5.955e-05,0
5.965e-05,0.05625
5.975e-05,0.16875
5.985e-05,0.225
5.995e-05,0.28125
6.005e-05,0.3375
6.015e-05,0.3375
6.025e-05,0.39375
6.035e-05,0.39375
6.045e-05,0.3375
6.055e-05,0.3375
6.065e-05,0.28125
6.075e-05,0.225
6.085e-05,0.1125
6.095e-05,0.05625
6.105e-05,-0.05625
6.115e-05,-0.1125
6.125e-05,-0.225
6.135e-05,-0.28125
6.145e-05,-0.3375
6.155e-05,-0.39375
6.165e-05,-0.39375
6.175e-05,-0.45
6.185e-05,-0.45
6.195e-05,-0.39375
6.205e-05,-0.39375
6.215e-05,-0.3375
6.225e-05,-0.28125
6.235e-05,-0.16875
6.245e-05,-0.1125
6.255e-05,0
6.265e-05,0.05625
6.275e-05,0.1125
6.285e-05,0.225
6.295e-05,0.28125
6.305e-05,0.3375
6.315e-05,0.3375
6.325e-05,0.39375
6.335e-05,0.39375
6.345e-05,0.3375
6.355e-05,0.3375
6.365e-05,0.28125
6.375e-05,0.225
6.385e-05,0.16875
6.395e-05,0.05625
6.405e-05,0
6.415e-05,-0.1125
6.425e-05,-0.16875
6.435e-05,-0.28125
6.445e-05,-0.3375
6.455e-05,-0.39375
6.465e-05,-0.39375
6.475e-05,-0.45
6.485e-05,-0.45
6.495e-05,-0.39375
6.505e-05,-0.39375
6.515e-05,-0.3375
6.525e-05,-0.28125
6.535e-05,-0.225
6.545e-05,-0.1125
6.555e-05,-0.05625
6.565e-05,0.05625
6.575e-05,0.1125
6.585e-05,0.16875
6.595e-05,0.28125
6.605e-05,0.28125
6.615e-05,0.3375
6.625e-05,0.39375
6.635e-05,0.39375
6.645e-05,0.39375
6.655e-05,0.3375
6.665e-05,0.28125
6.675e-05,0.225
6.685e-05,0.16875
6.695e-05,0.1125
6.705e-05,0
6.715e-05,-0.05625
6.725e-05,-0.16875
6.735e-05,-0.225
6.745e-05,-0.28125
6.755e-05,-0.3375
6.765e-05,-0.39375
6.775e-05,-0.45
6.785e-05,-0.45
6.795e-05,-0.45
6.805e-05,-0.39375
6.815e-05,-0.3375
6.825e-05,-0.28125
6.835e-05,-0.225
6.845e-05,-0.16875
6.855e-05,-0.05625
6.865e-05,0
6.875e-05,0.1125
6.885e-05,0.16875
6.895e-05,0.225
6.905e-05,0.28125
6.915e-05,0.3375
6.925e-05,0.39375
6.935e-05,0.39375
6.945e-05,0.39375
6.955e-05,0.3375
6.965e-05,0.3375
6.975e-05,0.28125
6.985e-05,0.16875
6.995e-05,0.1125
7.005e-05,0.05625
7.015e-05,-0.05625
7.025e-05,-0.1125
7.035e-05,-0.225
7.045e-05,-0.28125
7.055e-05,-0.3375
7.065e-05,-0.39375
7.075e-05,-0.39375
7.085e-05,-0.45
7.095e-05,-0.45
7.105e-05,-0.39375
7.115e-05,-0.39375
7.125e-05,-0.3375
7.135e-05,-0.28125
7.145e-05,-0.16875
7.155e-05,-0.1125
7.165e-05,0
7.175e-05,0.05625
7.185e-05,0.16875
7.195e-05,0.225
7.205e-05,0.28125
7.215e-05,0.3375
7.225e-05,0.3375
7.235e-05,0.39375
7.245e-05,0.39375
7.255e-05,0.3375
7.265e-05,0.3375
7.275e-05,0.28125
7.285e-05,0.225
7.295e-05,0.1125
7.305e-05,0.05625
7.315e-05,0
7.325e-05,-0.1125
7.335e-05,-0.16875
7.345e-05,-0.28125
7.355e-05,-0.3375
7.365e-05,-0.39375
7.375e-05,-0.39375
7.385e-05,-0.45
7.395e-05,-0.45
7.405e-05,-0.39375
7.415e-05,-0.39375
7.425e-05,-0.3375
7.435e-05,-0.28125
7.445e-05,-0.225
7.455e-05,-0.1125
7.465e-05,-0.05625
7.475e-05,0.05625
7.485e-05,0.1125
7.495e-05,0.16875
7.505e-05,0.28125
7.515e-05,0.3375
7.525e-05,0.3375
7.535e-05,0.39375
7.545e-05,0.39375
7.555e-05,0.3375
7.565e-05,0.3375
7.575e-05,0.28125
7.585e-05,0.225
7.595e-05,0.16875
7.605e-05,0.05625
7.615e-05,0
7.625e-05,-0.05625
7.635e-05,-0.16875
7.645e-05,-0.225
7.655e-05,-0.28125
7.665e-05,-0.3375
7.675e-05,-0.39375
7.685e-05,-0.45
7.695e-05,-0.45
7.705e-05,-0.45
7.715e-05,-0.39375
7.725e-05,-0.3375
7.735e-05,-0.28125
7.745e-05,-0.225
7.755e-05,-0.16875
7.765e-05,-0.05625
7.775e-05,0
7.785e-05,0.1125
7.795e-05,0.16875
7.805e-05,0.225
7.815e-05,0.28125
7.825e-05,0.3375
7.835e-05,0.39375
7.845e-05,0.39375
7.855e-05,0.39375
7.865e-05,0.3375
7.875e-05,0.28125
7.885e-05,0.225
7.895e-05,0.16875
7.905e-05,0.1125
7.915e-05,0
7.925e-05,-0.05625
7.935e-05,-0.1125
7.945e-05,-0.225
7.955e-05,-0.28125
7.965e-05,-0.3375
7.975e-05,-0.39375
7.985e-05,-0.39375
7.995e-05,-0.45
8.005e-05,-0.45
8.015e-05,-0.39375
8.025e-05,-0.39375
8.035e-05,-0.3375
8.045e-05,-0.225
8.055e-05,-0.16875
8.065e-05,-0.1125
8.075e-05,0
8.085e-05,0.05625
8.095e-05,0.16875
8.105e-05,0.225
8.115e-05,0.28125
8.125e-05,0.3375
8.135e-05,0.3375
8.145e-05,0.39375
8.155e-05,0.39375
8.165e-05,0.3375
8.175e-05,0.3375
8.185e-05,0.28125
8.195e-05,0.225
8.205e-05,0.1125
8.215e-05,0.05625
8.225e-05,-0.05625
8.235e-05,-0.1125
8.245e-05,-0.16875
8.255e-05,-0.28125
8.265e-05,-0.3375
8.275e-05,-0.39375
8.285e-05,-0.39375
8.295e-05,-0.45
8.305e-05,-0.45
8.315e-05,-0.39375
8.325e-05,-0.39375
8.335e-05,-0.3375
8.345e-05,-0.28125
8.355e-05,-0.225
8.365e-05,-0.1125
8.375e-05,-0.05625
8.385e-05,0.05625
8.395e-05,0.1125
8.405e-05,0.225
8.415e-05,0.28125
8.425e-05,0.3375
8.435e-05,0.3375
8.445e-05,0.39375
8.455e-05,0.39375
8.465e-05,0.3375
8.475e-05,0.3375
8.485e-05,0.28125
8.495e-05,0.225
8.505e-05,0.16875
8.515e-05,0.05625
8.525e-05,0
8.535e-05,-0.1125
8.545e-05,-0.16875
8.555e-05,-0.225
8.565e-05,-0.3375
8.575e-05,-0.3375
8.585e-05,-0.39375
8.595e-05,-0.45
8.605e-05,-0.45
8.615e-05,-0.39375
8.625e-05,-0.39375
8.635e-05,-0.3375
8.645e-05,-0.28125
8.655e-05,-0.225
8.665e-05,-0.16875
8.675e-05,-0.05625
8.685e-05,0
8.695e-05,0.1125
8.705e-05,0.16875
8.715e-05,0.225
8.725e-05,0.28125
8.735e-05,0.3375
8.745e-05,0.39375
8.755e-05,0.39375
8.765e-05,0.39375
8.775e-05,0.3375
8.785e-05,0.28125
8.795e-05,0.225
8.805e-05,0.16875
8.815e-05,0.1125
8.825e-05,0
8.835e-05,-0.05625
8.845e-05,-0.16875
8.855e-05,-0.225
8.865e-05,-0.28125
8.875e-05,-0.3375
8.885e-05,-0.39375
8.895e-05,-0.45
8.905e-05,-0.45
8.915e-05,-0.45
8.925e-05,-0.39375
8.935e-05,-0.3375
8.945e-05,-0.3375
8.955e-05,-0.225
8.965e-05,-0.16875
8.975e-05,-0.1125
8.985e-05,0
8.995e-05,0.05625
9.005e-05,0.16875
9.015e-05,0.225
9.025e-05,0.28125
9.035e-05,0.3375
9.045e-05,0.3375
9.055e-05,0.39375
9.065e-05,0.39375
9.075e-05,0.3375
9.085e-05,0.3375
9.095e-05,0.28125
9.105e-05,0.225
9.115e-05,0.1125
9.125e-05,0.05625
9.135e-05,-0.05625
9.145e-05,-0.1125
9.155e-05,-0.225
9.165e-05,-0.28125
9.175e-05,-0.3375
9.185e-05,-0.39375
9.195e-05,-0.39375
9.205e-05,-0.45
9.215e-05,-0.45
9.225e-05,-0.39375
9.235e-05,-0.39375
9.245e-05,-0.3375
9.255e-05,-0.28125
9.265e-05,-0.16875
9.275e-05,-0.1125
9.285e-05,-0.05625
9.295e-05,0.05625
9.305e-05,0.1125
9.315e-05,0.225
9.325e-05,0.28125
9.335e-05,0.3375
9.345e-05,0.3375
9.355e-05,0.39375
9.365e-05,0.39375
9.375e-05,0.3375
9.385e-05,0.3375
9.395e-05,0.28125
9.405e-05,0.225
9.415e-05,0.16875
9.425e-05,0.05625
9.435e-05,0
9.445e-05,-0.1125
9.455e-05,-0.16875
9.465e-05,-0.225
9.475e-05,-0.3375
9.485e-05,-0.39375
9.495e-05,-0.39375
9.505e-05,-0.45
9.515e-05,-0.45
9.525e-05,-0.39375
9.535e-05,-0.39375
9.545e-05,-0.3375
9.555e-05,-0.28125
9.565e-05,-0.225
9.575e-05,-0.1125
9.585e-05,-0.05625
9.595e-05,0
9.605e-05,0.1125
9.615e-05,0.16875
9.625e-05,0.225
9.635e-05,0.28125
9.645e-05,0.3375
9.655e-05,0.39375
9.665e-05,0.39375
9.675e-05,0.39375
9.685e-05,0.3375
9.695e-05,0.28125
9.705e-05,0.225
9.715e-05,0.16875
9.725e-05,0.1125
9.735e-05,0
9.745e-05,-0.05625
9.755e-05,-0.16875
9.765e-05,-0.225
9.775e-05,-0.28125
9.785e-05,-0.3375
9.795e-05,-0.39375
9.805e-05,-0.45
9.815e-05,-0.45
9.825e-05,-0.45
9.835e-05,-0.39375
9.845e-05,-0.3375
9.855e-05,-0.28125
9.865e-05,-0.225
9.875e-05,-0.16875
9.885e-05,-0.05625
9.895e-05,0
9.905e-05,0.1125
9.915e-05,0.16875
9.925e-05,0.225
9.935e-05,0.28125
9.945e-05,0.3375
9.955e-05,0.3375
9.965e-05,0.39375
9.975e-05,0.39375
9.985e-05,0.3375
9.995e-05,0.3375
0.00010005,0.28125
0.00010015,0.16875
0.00010025,0.1125
0.00010035,0.05625
0.00010045,-0.05625
0.00010055,-0.1125
0.00010065,-0.225
0.00010075,-0.28125
0.00010085,-0.3375
0.00010095,-0.39375
0.00010105,-0.39375
0.00010115,-0.45
0.00010125,-0.45
0.00010135,-0.39375
0.00010145,-0.39375
0.00010155,-0.3375
0.00010165,-0.28125
0.00010175,-0.16875
0.00010185,-0.1125
0.00010195,0
0.00010205,0.05625
0.00010215,0.16875
0.00010225,0.225
0.00010235,0.28125
0.00010245,0.3375
0.00010255,0.3375
0.00010265,0.39375
0.00010275,0.39375
0.00010285,0.3375
0.00010295,0.3375
0.00010305,0.28125
0.00010315,0.225
0.00010325,0.16875
0.00010335,0.05625
0.00010345,0
0.00010355,-0.1125
0.00010365,-0.16875
0.00010375,-0.28125
0.00010385,-0.3375
0.00010395,-0.39375
0.00010405,-0.39375
0.00010415,-0.45
0.00010425,-0.45
0.00010435,-0.39375
0.00010445,-0.39375
0.00010455,-0.3375
0.00010465,-0.28125
0.00010475,-0.225
0.00010485,-0.1125
0.00010495,-0.05625
0.00010505,0.05625
0.00010515,0.1125
0.00010525,0.16875
0.00010535,0.28125
0.00010545,0.3375
0.00010555,0.3375
0.00010565,0.39375
0.00010575,0.39375
0.00010585,0.39375
0.00010595,0.3375
0.00010605,0.28125
0.00010615,0.225
0.00010625,0.16875
0.00010635,0.1125
0.00010645,0
0.00010655,-0.05625
0.00010665,-0.16875
0.00010675,-0.225
0.00010685,-0.28125
0.00010695,-0.3375
0.00010705,-0.39375
0.00010715,-0.45
0.00010725,-0.45
0.00010735,-0.45
0.00010745,-0.39375
0.00010755,-0.3375
0.00010765,-0.28125
0.00010775,-0.225
0.00010785,-0.16875
0.00010795,-0.05625
0.00010805,0
0.00010815,0.1125
0.00010825,0.16875
0.00010835,0.225
0.00010845,0.28125
0.00010855,0.3375
0.00010865,0.39375
0.00010875,0.39375
0.00010885,0.39375
0.00010895,0.3375
0.00010905,0.28125
0.00010915,0.225
0.00010925,0.16875
0.00010935,0.1125
0.00010945,0.05625
0.00010955,-0.05625
0.00010965,-0.1125
0.00010975,-0.225
0.00010985,-0.28125
0.00010995,-0.3375
0.00011005,-0.39375
0.00011015,-0.39375
0.00011025,-0.45
0.00011035,-0.45
0.00011045,-0.39375
0.00011055,-0.39375
0.00011065,-0.3375
0.00011075,-0.28125
0.00011085,-0.16875
0.00011095,-0.1125
0.00011105,0
0.00011115,0.05625
0.00011125,0.16875
0.00011135,0.225
0.00011145,0.28125
0.00011155,0.3375
0.00011165,0.3375
0.00011175,0.39375
0.00011185,0.39375
0.00011195,0.3375
0.00011205,0.3375
0.00011215,0.28125
0.00011225,0.225
0.00011235,0.1125
0.00011245,0.05625
0.00011255,0
0.00011265,-0.1125
0.00011275,-0.16875
0.00011285,-0.28125
0.00011295,-0.3375
0.00011305,-0.39375
0.00011315,-0.39375
0.00011325,-0.45
0.00011335,-0.45
0.00011345,-0.39375
0.00011355,-0.39375
0.00011365,-0.3375
0.00011375,-0.28125
0.00011385,-0.225
0.00011395,-0.1125
0.00011405,-0.05625
0.00011415,0.05625
0.00011425,0.1125
0.00011435,0.225
0.00011445,0.28125
0.00011455,0.3375
0.00011465,0.3375
0.00011475,0.39375
0.00011485,0.39375
0.00011495,0.3375
0.00011505,0.3375
0.00011515,0.28125
0.00011525,0.225
0.00011535,0.16875
0.00011545,0.05625
0.00011555,0
0.00011565,-0.1125
0.00011575,-0.16875
0.00011585,-0.225
0.00011595,-0.28125
0.00011605,-0.3375
0.00011615,-0.39375
0.00011625,-0.45
0.00011635,-0.45
0.00011645,-0.45
0.00011655,-0.39375
0.00011665,-0.3375
0.00011675,-0.28125
0.00011685,-0.225
0.00011695,-0.16875
0.00011705,-0.05625
